Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FGP,ThreePM,ThreePA,ThreePP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,PLUSMINUS
Dahntay Jones,LAC,34,33,23,10,3.7,0.2,0.6,28.6,0,0.1,0,0.3,0.3,81.8,0,0.3,0.3,0.1,0,0.1,0,0.7,0,0,0.6,-2.5
Damian Lillard,POR,24,82,51,31,35.7,7.2,16.6,43.4,2.4,7,34.3,4.2,4.9,86.4,0.6,4,4.6,6.2,2.7,1.2,0.3,2,6,0,21,3.7
Damjan Rudez,IND,29,68,28,40,15.4,1.8,3.9,45.2,1,2.5,40.6,0.2,0.3,69.6,0.1,0.6,0.7,0.8,0.7,0.2,0.1,1.2,0,0,4.8,0.5
Danilo Gallinari,DEN,26,59,23,36,24.2,3.9,9.6,40.1,1.8,5.1,35.5,2.9,3.2,89.5,0.5,3.2,3.7,1.4,1,0.8,0.3,1.6,0,0,12.4,0.3
Danny Granger,PHX,32,30,11,19,20.4,2.2,5.4,40.1,1,2.8,35.7,0.9,1.2,75.7,0.7,2,2.7,0.6,0.8,0.4,0.2,2.2,0,0,6.3,-3.5
Danny Green,SAS,28,81,55,26,28.5,4,9.1,43.6,2.4,5.6,41.8,1.4,1.6,87.4,0.7,3.6,4.2,2,1.1,1.2,1.1,2,2,0,11.7,5.3
Dante Cunningham,NOP,28,66,37,29,25,2.3,5.1,45.7,0,0.2,10,0.4,0.7,61.7,1.1,2.8,3.9,0.8,0.5,0.7,0.6,1.5,1,0,5.2,-0.5
Dante Exum,UTA,19,82,38,44,22.2,1.8,5.1,34.9,1,3.2,31.4,0.2,0.4,62.5,0.3,1.3,1.6,2.4,1.4,0.5,0.2,1.8,0,0,4.8,1.1
Darius Miller,NOP,25,5,1,4,8.7,0.2,1.4,14.3,0,0.2,0,0,0,0,0,0.2,0.2,0.4,0.2,0.2,0,1.6,0,0,0.4,-2.4
Darius Morris,BKN,24,38,14,24,7.9,0.9,2.8,34,0.2,0.9,21.2,0.1,0.2,44.4,0.2,0.5,0.7,1.3,0.6,0.2,0,0.5,0,0,2.2,-1.7
Darrell Arthur,DEN,27,58,22,36,17,2.7,6.6,40.4,0.4,1.9,23.6,0.8,1,78,0.9,2,2.9,1,0.8,0.8,0.4,2.5,2,0,6.6,-0.2
Darren Collison,SAC,27,45,16,29,34.8,5.8,12.2,47.3,1.3,3.6,37.3,3.2,4.1,78.8,0.4,2.8,3.2,5.6,2.5,1.5,0.3,2.1,3,0,16.1,0.8
